"";"event";"pairing_order";"team_home";"gymnast_home";"dvalue_home";"endvalue_home";"score_home";"team_guest";"gymnast_guest";"dvalue_guest";"endvalue_guest";"score_guest";"home_starts";"url";"time";"location"
"floor.1";"floor";1;"VfL Kirchheim unter Teck";"El Azzazy, Yasin";4,4;11,7;0;"TSV Monheim";"Wilhelm, Sascha";4,7;12,5;3;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"floor.2";"floor";2;"VfL Kirchheim unter Teck";"Bay, Marcus";4,6;12,3;4;"TSV Monheim";"Bonack, Bastian";4,1;10,45;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"floor.3";"floor";3;"VfL Kirchheim unter Teck";"Neher, Markus";4,1;12,15;2;"TSV Monheim";"Hartrich, Julius";4,6;11,85;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"floor.4";"floor";4;"VfL Kirchheim unter Teck";"Lee, Daniel";4,7;13,2;5;"TSV Monheim";"Neumeier, Manuel";3,2;11;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"pommel_horse.1";"pommel_horse";1;"VfL Kirchheim unter Teck";"Kirchner, Alexander";4,6;11,4;0;"TSV Monheim";"Wilhelm, Sascha";3,8;11,3;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"pommel_horse.2";"pommel_horse";2;"VfL Kirchheim unter Teck";"Weise, Henning";3,3;10,55;5;"TSV Monheim";"Palmroth, Patrick";3,1;7,95;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"pommel_horse.3";"pommel_horse";3;"VfL Kirchheim unter Teck";"Bay, Marcus";4,7;9,85;0;"TSV Monheim";"Lederer, Jan";3,9;11,6;4;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"pommel_horse.4";"pommel_horse";4;"VfL Kirchheim unter Teck";"Lee, Daniel";3,6;11,75;0;"TSV Monheim";"Neumeier, Manuel";4,4;12,4;3;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"still_rings.1";"still_rings";1;"VfL Kirchheim unter Teck";"Hausch, Julian";3,7;12,1;2;"TSV Monheim";"Wilhelm, Sascha";4;11,7;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"still_rings.2";"still_rings";2;"VfL Kirchheim unter Teck";"Kirchner, Alexander";4,2;13,2;4;"TSV Monheim";"Hartrich, Julius";3,9;11,9;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"still_rings.3";"still_rings";3;"VfL Kirchheim unter Teck";"Bay, Marcus";4;12;0;"TSV Monheim";"Palmroth, Patrick";4,1;12,8;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"still_rings.4";"still_rings";4;"VfL Kirchheim unter Teck";"Lee, Daniel";4,6;13,2;4;"TSV Monheim";"Lederer, Jan";3,3;11,55;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"vault.1";"vault";1;"VfL Kirchheim unter Teck";"Neher, Markus";4;13,05;0;"TSV Monheim";"Wilhelm, Sascha";4,4;13,45;2;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"vault.2";"vault";2;"VfL Kirchheim unter Teck";"Lee, Daniel";4,8;13,3;2;"TSV Monheim";"Neumeier, Manuel";4;12,85;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"vault.3";"vault";3;"VfL Kirchheim unter Teck";"Bay, Marcus";4,8;13,2;2;"TSV Monheim";"Hartrich, Julius";4;12,85;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"vault.4";"vault";4;"VfL Kirchheim unter Teck";"El Azzazy, Yasin";4,8;13,15;1;"TSV Monheim";"Bonack, Bastian";4;12,95;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"parallel_bars.1";"parallel_bars";1;"VfL Kirchheim unter Teck";"Kirchner, Alexander";4;12,55;4;"TSV Monheim";"Wilhelm, Sascha";3,8;11,4;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"parallel_bars.2";"parallel_bars";2;"VfL Kirchheim unter Teck";"Lee, Daniel";4,6;11,55;0;"TSV Monheim";"Hartrich, Julius";4,1;12,9;4;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"parallel_bars.3";"parallel_bars";3;"VfL Kirchheim unter Teck";"Neher, Markus";3;12,05;2;"TSV Monheim";"Neumeier, Manuel";3,1;11,7;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"parallel_bars.4";"parallel_bars";4;"VfL Kirchheim unter Teck";"Bay, Marcus";3,9;10,55;0;"TSV Monheim";"Palmroth, Patrick";4,5;12,85;5;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"horizontal_bar.1";"horizontal_bar";1;"VfL Kirchheim unter Teck";"Hofmann, Manuel";1,9;8,2;0;"TSV Monheim";"Lederer, Jan";3,2;11,05;5;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"horizontal_bar.2";"horizontal_bar";2;"VfL Kirchheim unter Teck";"Kirchner, Alexander";4,3;11,7;0;"TSV Monheim";"Wilhelm, Sascha";3,7;11,7;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"horizontal_bar.3";"horizontal_bar";3;"VfL Kirchheim unter Teck";"Lee, Daniel";4,4;12,85;3;"TSV Monheim";"Hartrich, Julius";3,8;11,9;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"horizontal_bar.4";"horizontal_bar";4;"VfL Kirchheim unter Teck";"Bay, Marcus";3,2;10,45;0;"TSV Monheim";"Palmroth, Patrick";3,5;11,3;3;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2399";2022-11-12 18:00:00;"Raunersporthalle | Limburgstr. 71 | 73230 Kirchheim"
"floor.11";"floor";1;"KTG Heidelberg";"Schauwienold, Joel";4,4;11,95;0;"TG Allgäu";"Eberle, Stephan";3,9;12,05;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
"floor.21";"floor";2;"KTG Heidelberg";"Gäbler, Karl-Ole";5,1;14,2;0;"TG Allgäu";"Kirmes, Robert";5,6;14,3;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2400";2022-11-12 18:00:00;"Sporthalle Kirchheim 1 | Pleikartsförsterstr. 130 | 69124 Heidelberg"
