"";"event";"pairing_order";"team";"gymnast";"dvalue";"endvalue";"score";"home_starts";"url";"time";"location"
"floor.1";"floor";1;"USC München";"Huber, Paul";3,7;11,6;3;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"floor.2";"floor";2;"USC München";"Seipl, Paul";3,3;11;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"floor.3";"floor";3;"USC München";"Röhr, Alessio";3,4;11,6;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"floor.4";"floor";4;"USC München";"Trattnig, Stephan";3,7;12,3;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"pommel_horse.1";"pommel_horse";1;"USC München";"Bouchi, Rayan";2,6;10,5;2;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"pommel_horse.2";"pommel_horse";2;"USC München";"Seipl, Paul";2,5;10,2;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"pommel_horse.3";"pommel_horse";3;"USC München";"Huber, Paul";2,4;9,6;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"pommel_horse.4";"pommel_horse";4;"USC München";"Albert, Felix";2,5;9,6;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"still_rings.1";"still_rings";1;"USC München";"Peindl, Severin";2,4;10,65;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"still_rings.2";"still_rings";2;"USC München";"Huber, David";2,4;10,75;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"still_rings.3";"still_rings";3;"USC München";"Huber, Paul";2,9;9,95;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"still_rings.4";"still_rings";4;"USC München";"Seipl, Paul";2,4;10,4;2;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"vault.1";"vault";1;"USC München";"Seipl, Paul";2,2;11,05;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"vault.2";"vault";2;"USC München";"Röhr, Alessio";4;12,85;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"vault.3";"vault";3;"USC München";"Bouchi, Rayan";3,2;11,7;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"vault.4";"vault";4;"USC München";"Albert, Felix";3,2;12,15;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"parallel_bars.1";"parallel_bars";1;"USC München";"Huber, David";2,5;11,15;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"parallel_bars.2";"parallel_bars";2;"USC München";"Peindl, Severin";2,5;10,9;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"parallel_bars.3";"parallel_bars";3;"USC München";"Trattnig, Stephan";3;10,9;0;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"parallel_bars.4";"parallel_bars";4;"USC München";"Huber, Paul";2,4;10,5;1;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"horizontal_bar.1";"horizontal_bar";1;"USC München";"Huber, David";2,4;10,55;4;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"horizontal_bar.2";"horizontal_bar";2;"USC München";"Röhr, Alessio";2,9;11,1;2;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"horizontal_bar.3";"horizontal_bar";3;"USC München";"Albert, Felix";2,4;5,85;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"horizontal_bar.4";"horizontal_bar";4;"USC München";"Trattnig, Stephan";2,4;10,75;0;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2457";2022-11-12 14:00:00;"Bayernwerk Sportarena | Utzweg 1 | 82008 Unterhaching | geänderte Uhrzeit"
"floor.11";"floor";1;"TG Wangen-Eisenharz";"von Kirn, Julian";4,3;12,55;2;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"floor.21";"floor";2;"TG Wangen-Eisenharz";"Strobel, Simon";3,8;11,55;1;TRUE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"floor.31";"floor";3;"TG Wangen-Eisenharz";"Ruchti, Finn";3,6;12,25;1;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"floor.41";"floor";4;"TG Wangen-Eisenharz";"Drechsel, Manuel";3,8;13;3;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"pommel_horse.11";"pommel_horse";1;"TG Wangen-Eisenharz";"Kimmerle, Felix";3;11,45;2;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
"pommel_horse.21";"pommel_horse";2;"TG Wangen-Eisenharz";"Schober, Pascal";3,8;12,05;10;FALSE;"https://www.deutsche-turnliga.de/dtl/historie/archiv/detailsm0.html?ID=2455";2022-11-12 18:00:00;"Ebnetsporthalle Wangen | Danneckerweg 50 | 88239 Wangen im Allgäu"
